Mw,log(Rrup),log(focal_depth),log(VS30),focal_depth
3.87,5.969653404093867,5.969653404093867,7.600902459542082,391.37
3.87,5.969653404093867,5.969653404093867,7.600902459542082,391.37
3.87,6.107601784737024,6.107601784737024,7.600902459542082,449.26
3.87,6.107601784737024,6.107601784737024,7.600902459542082,449.26
3.87,6.01627910348242,6.016254715915201,6.292679633842347,410.04
3.87,6.01627910348242,6.016254715915201,6.292679633842347,410.04
3.72,6.168333766890202,6.166992244480528,7.315218389752975,476.75
3.72,6.168333766890202,6.166992244480528,7.315218389752975,476.75
3.24,5.746937744970128,5.74604343337071,7.600902459542082,312.95
3.24,5.746937744970128,5.74604343337071,7.600902459542082,312.95
4.05,7.21351054294129,7.21351054294129,5.869296913133774,1357.65
4.05,7.21351054294129,7.21351054294129,5.869296913133774,1357.65
4.05,7.086202674227491,7.086202674227491,6.851184927493742,1195.36
4.05,7.086202674227491,7.086202674227491,6.851184927493742,1195.36
4.05,5.416055956772292,5.4160115093646795,5.7430031878094825,224.98
4.05,5.416055956772292,5.4160115093646795,5.7430031878094825,224.98
4.05,6.875335387726025,6.875335387726025,6.279459070741808,968.1
4.05,6.875335387726025,6.875335387726025,6.279459070741808,968.1
4.05,5.578823755250721,5.578785984481516,6.141607205537701,264.75
4.05,5.578823755250721,5.578785984481516,6.141607205537701,264.75
3.82,5.0938115486181985,5.087472870820844,6.381816017406098,161.98
3.82,5.0938115486181985,5.087472870820844,6.381816017406098,161.98
3.82,6.543566462185812,6.543220959475937,6.970354420738657,694.52
3.82,6.543566462185812,6.543220959475937,6.970354420738657,694.52
3.82,6.134720378737397,6.133940195354737,6.949856455000773,461.25
3.82,6.134720378737397,6.133940195354737,6.949856455000773,461.25
3.23,6.174015244313933,6.173973586326008,6.24105526843704,480.09
3.23,6.174015244313933,6.173973586326008,6.24105526843704,480.09
3.23,5.860016696686837,5.859959671139376,6.045952732392052,350.71
3.23,5.860016696686837,5.859959671139376,6.045952732392052,350.71
3.23,5.972587491338293,5.972536537222463,5.993213017642098,392.5
3.23,5.972587491338293,5.972536537222463,5.993213017642098,392.5
3.23,6.1437778256611875,6.143756357450241,5.961778236737621,465.8
3.23,6.1437778256611875,6.143756357450241,5.961778236737621,465.8
3.23,6.337975512372475,6.337957833439575,6.229890721953349,565.64
3.23,6.337975512372475,6.337957833439575,6.229890721953349,565.64
3.23,6.196627410386242,6.196586683824373,6.318427427061189,491.07
3.23,6.196627410386242,6.196586683824373,6.318427427061189,491.07
3.23,6.0481283942255235,6.048081147526878,6.284693705988879,423.3
3.23,6.0481283942255235,6.048081147526878,6.284693705988879,423.3
3.23,6.212866582863889,6.21284654780253,6.164997597868857,499.12
3.23,6.212866582863889,6.21284654780253,6.164997597868857,499.12
3.23,5.933861916971523,5.933808950869816,6.232840866683251,377.59
3.23,5.933861916971523,5.933808950869816,6.232840866683251,377.59
3.23,5.566931291907004,5.566816619583044,6.269285659712887,261.6
3.23,5.566931291907004,5.566816619583044,6.269285659712887,261.6
3.23,5.387655201900231,5.387518012006338,5.586124431187969,218.66
3.23,5.387655201900231,5.387518012006338,5.586124431187969,218.66
3.23,5.3535155270127985,5.353326249578836,6.405558981914201,211.31
3.23,5.3535155270127985,5.353326249578836,6.405558981914201,211.31
3.23,5.563907192525002,5.563792172875685,6.419994928147142,260.81
3.23,5.563907192525002,5.563792172875685,6.419994928147142,260.81
3.23,5.478803907396261,5.478636920671318,7.033418296977794,239.52
3.23,5.478803907396261,5.478636920671318,7.033418296977794,239.52
3.23,4.320018243389935,4.318554211718308,6.70857236511277,75.08
3.23,4.320018243389935,4.318554211718308,6.70857236511277,75.08
3.23,4.75746199633035,4.756946620953885,6.307004947688159,116.39
3.23,4.75746199633035,4.756946620953885,6.307004947688159,116.39
3.23,5.738441517141043,5.7383449190053115,5.921846480227112,310.55
3.23,5.738441517141043,5.7383449190053115,5.921846480227112,310.55
3.23,5.486289594850805,5.486165291467522,5.870144011871426,241.33
3.23,5.486289594850805,5.486165291467522,5.870144011871426,241.33
3.23,5.784655606662756,5.784563371339637,7.166265974133638,325.24
3.23,5.784655606662756,5.784563371339637,7.166265974133638,325.24
