Mw,Rrup,log(Rrup),VS30,focal_depth,eq_name,eq_id
5.85,89.2,4.490881039585964,160.0,160.0,Saguenay_1988-11-25,42.0
5.85,49.23,3.896503193770109,2000.0,2000.0,Saguenay_1988-11-25,43.0
5.85,92.23,4.524285457247627,2000.0,2000.0,Saguenay_1988-11-25,49.0
5.85,89.15,4.490320344309149,2000.0,2000.0,Saguenay_1988-11-25,51.0
5.85,145.85,4.98257869631373,2000.0,2000.0,Saguenay_1988-11-25,52.0
5.85,112.77,4.725350346244196,2000.0,2000.0,Saguenay_1988-11-25,53.0
5.85,63.88,4.1570063233468115,2000.0,2000.0,Saguenay_1988-11-25,54.0
5.85,111.05,4.709980550340436,2000.0,2000.0,Saguenay_1988-11-25,56.0
5.85,121.32,4.798431682820381,2000.0,2000.0,Saguenay_1988-11-25,58.0
5.85,192.07,5.2578598889167605,822.1,822.1,Saguenay_1988-11-25,64.0
5.85,466.65,6.145579512011755,471.8,471.8,Saguenay_1988-11-25,65.0
5.85,320.51,5.769913477122025,866.7,866.7,Saguenay_1988-11-25,66.0
5.85,488.34,6.191011884567005,900.7,900.7,Saguenay_1988-11-25,67.0
5.85,427.42,6.057767136362045,956.8,956.8,Saguenay_1988-11-25,68.0
5.85,442.54,6.092530855842785,369.3,369.3,Saguenay_1988-11-25,70.0
5.85,513.34,6.2409383936682215,1197.4,1197.4,Saguenay_1988-11-25,71.0
5.85,814.88,6.7030408631362945,1064.6,1064.6,Saguenay_1988-11-25,72.0
5.85,120.14,4.788657729422015,2000.0,2000.0,Saguenay_1988-11-25,12006.0
5.85,112.52,4.7231309836216555,2000.0,2000.0,Saguenay_1988-11-25,12007.0
5.85,120.27,4.789739215322525,2000.0,2000.0,Saguenay_1988-11-25,12008.0
5.85,92.06,4.5224405383890955,2000.0,2000.0,Saguenay_1988-11-25,12009.0
5.85,94.15,4.544889255103161,2000.0,2000.0,Saguenay_1988-11-25,12010.0
5.85,101.94,4.624384404911895,2000.0,2000.0,Saguenay_1988-11-25,12011.0
5.85,354.94,5.8719487611064185,563.6,563.6,Saguenay_1988-11-25,12027.0
3.27,34.04,3.5275363037051735,2000.0,2000.0,LaMalbaie_1997-08-20,73.0
3.27,23.64,3.1629401925378975,2000.0,2000.0,LaMalbaie_1997-08-20,74.0
3.27,49.22,3.8963000449629095,2000.0,2000.0,LaMalbaie_1997-08-20,75.0
3.27,14.5,2.6741486494265287,2000.0,2000.0,LaMalbaie_1997-08-20,76.0
3.27,24.15,3.1842843800985814,2000.0,2000.0,LaMalbaie_1997-08-20,77.0
3.27,444.93,6.09791696642198,2000.0,2000.0,LaMalbaie_1997-08-20,83.0
3.27,457.81,6.126454250879723,2000.0,2000.0,LaMalbaie_1997-08-20,89.0
3.27,746.67,6.615623320456725,2000.0,2000.0,LaMalbaie_1997-08-20,92.0
3.27,845.37,6.739774401342643,2000.0,2000.0,LaMalbaie_1997-08-20,93.0
3.27,387.29,5.95917376640942,1043.0,1043.0,LaMalbaie_1997-08-20,97.0
4.29,52.73,3.965184553542378,2000.0,2000.0,LaMalbaie_1997-10-28,98.0
4.29,24.1,3.1822118404966093,2000.0,2000.0,LaMalbaie_1997-10-28,99.0
4.29,17.18,2.8437459165561094,2000.0,2000.0,LaMalbaie_1997-10-28,100.0
4.29,45.17,3.8104331496665127,2000.0,2000.0,LaMalbaie_1997-10-28,101.0
4.29,14.85,2.6979998652487085,2000.0,2000.0,LaMalbaie_1997-10-28,102.0
4.29,17.83,2.8808824318750488,2000.0,2000.0,LaMalbaie_1997-10-28,103.0
4.29,477.63,6.168836374176022,2000.0,2000.0,LaMalbaie_1997-10-28,109.0
4.29,437.49,6.081053848393584,2000.0,2000.0,LaMalbaie_1997-10-28,115.0
4.29,779.22,6.658293419350054,2000.0,2000.0,LaMalbaie_1997-10-28,119.0
4.29,823.54,6.713612121601384,2000.0,2000.0,LaMalbaie_1997-10-28,120.0
4.29,1906.12,7.552825041308908,2000.0,2000.0,LaMalbaie_1997-10-28,123.0
4.29,411.98,6.020974804481923,1043.0,1043.0,LaMalbaie_1997-10-28,124.0
4.45,106.62,4.669271111394615,2000.0,2000.0,CapRouge_1997-11-06,125.0
4.45,131.55,4.879387007486302,2000.0,2000.0,CapRouge_1997-11-06,126.0
4.45,165.55,5.109273263993255,2000.0,2000.0,CapRouge_1997-11-06,127.0
4.45,142.12,4.956671771152826,2000.0,2000.0,CapRouge_1997-11-06,129.0
4.45,162.84,5.092768123634778,2000.0,2000.0,CapRouge_1997-11-06,130.0
4.45,334.45,5.812487391564416,2000.0,2000.0,CapRouge_1997-11-06,136.0
4.45,518.49,6.2509207410805105,2000.0,2000.0,CapRouge_1997-11-06,142.0
4.45,23.95,3.175968323856924,2000.0,2000.0,CapRouge_1997-11-06,147.0
4.45,638.52,6.459152998396278,2000.0,2000.0,CapRouge_1997-11-06,148.0
4.45,947.75,6.854090754396444,2000.0,2000.0,CapRouge_1997-11-06,149.0
4.45,60.91,4.109397364848393,2000.0,2000.0,CapRouge_1997-11-06,150.0
4.45,1830.41,7.5122952644572685,2000.0,2000.0,CapRouge_1997-11-06,154.0
4.45,477.38,6.1683128194368875,692.4,692.4,CapRouge_1997-11-06,156.0
4.45,858.61,6.755314802589629,940.0,940.0,CapRouge_1997-11-06,157.0
4.45,1541.29,7.3403750071020415,1181.8,1181.8,CapRouge_1997-11-06,158.0
4.45,673.74,6.512844279812502,1064.6,1064.6,CapRouge_1997-11-06,159.0
4.45,1087.94,6.9920412788364095,437.1,437.1,CapRouge_1997-11-06,161.0
4.45,625.85,6.439110725774032,684.6,684.6,CapRouge_1997-11-06,162.0
4.45,1296.73,7.167600989939253,789.0,789.0,CapRouge_1997-11-06,163.0
4.45,1368.81,7.221697028220497,428.7,428.7,CapRouge_1997-11-06,164.0
4.45,1800.9,7.496041818925907,299.0,299.0,CapRouge_1997-11-06,165.0
4.45,1539.5,7.3392129673645545,595.5,595.5,CapRouge_1997-11-06,166.0
4.45,287.58,5.661501082399595,1043.0,1043.0,CapRouge_1997-11-06,167.0
4.45,586.84,6.374752210271443,704.8,704.8,CapRouge_1997-11-06,168.0
4.45,1044.8,6.951580758522167,1290.4,1290.4,CapRouge_1997-11-06,169.0
4.45,1678.98,7.425941745154301,522.0,522.0,CapRouge_1997-11-06,170.0
4.45,2030.99,7.616278637885348,464.8,464.8,CapRouge_1997-11-06,171.0
4.45,738.98,6.605270856982517,684.9,684.9,CapRouge_1997-11-06,173.0
4.45,1464.11,7.2890028283106645,549.2,549.2,CapRouge_1997-11-06,174.0
4.45,1453.32,7.281605873320959,472.2,472.2,CapRouge_1997-11-06,175.0
4.45,616.02,6.423279430538928,634.1,634.1,CapRouge_1997-11-06,176.0
4.45,603.18,6.402215659645384,579.9,579.9,CapRouge_1997-11-06,177.0
4.45,557.28,6.323067806617691,650.3,650.3,CapRouge_1997-11-06,178.0
4.45,545.63,6.301941090354857,922.3,922.3,CapRouge_1997-11-06,179.0
4.43,387.32,5.95925122474333,2000.0,2000.0,CoteNord_1999-03-16,180.0
4.43,359.43,5.884519443319917,2000.0,2000.0,CoteNord_1999-03-16,181.0
4.43,324.49,5.782254719028316,2000.0,2000.0,CoteNord_1999-03-16,182.0
4.43,383.26,5.948713610040349,2000.0,2000.0,CoteNord_1999-03-16,183.0
4.43,347.92,5.851972568289383,2000.0,2000.0,CoteNord_1999-03-16,184.0
4.43,327.15,5.790418781315747,2000.0,2000.0,CoteNord_1999-03-16,185.0
4.43,638.99,6.459888804802811,2000.0,2000.0,CoteNord_1999-03-16,190.0
4.43,1575.06,7.362048645772223,2000.0,2000.0,CoteNord_1999-03-16,192.0
4.43,808.75,6.69548984581511,2000.0,2000.0,CoteNord_1999-03-16,193.0
4.43,1162.97,7.058732356829123,2000.0,2000.0,CoteNord_1999-03-16,198.0
4.43,433.1,6.070968648220581,2000.0,2000.0,CoteNord_1999-03-16,200.0
4.43,371.8,5.918356075287344,2000.0,2000.0,CoteNord_1999-03-16,201.0
4.43,1103.53,7.006269411552898,2000.0,2000.0,CoteNord_1999-03-16,206.0
4.43,580.27,6.363493512462308,2000.0,2000.0,CoteNord_1999-03-16,207.0
4.43,885.24,6.785858794684211,692.4,692.4,CoteNord_1999-03-16,213.0
4.43,1343.42,7.202973880320575,940.0,940.0,CoteNord_1999-03-16,214.0
4.43,1558.68,7.351594588207193,437.1,437.1,CoteNord_1999-03-16,215.0
4.43,1108.89,7.011114793972796,684.6,684.6,CoteNord_1999-03-16,216.0
4.43,731.34,6.5948784678958,1043.0,1043.0,CoteNord_1999-03-16,219.0
4.43,1532.28,7.33451210122459,1290.4,1290.4,CoteNord_1999-03-16,221.0
4.62,661.57,6.494615798062278,2000.0,2000.0,Kipawa_2000-01-01,222.0
4.62,646.17,6.471062627057373,2000.0,2000.0,Kipawa_2000-01-01,225.0
4.62,1983.37,7.592552697095634,2000.0,2000.0,Kipawa_2000-01-01,234.0
4.62,292.95,5.6800019459907976,2000.0,2000.0,Kipawa_2000-01-01,235.0
4.62,392.47,5.972460101180284,2000.0,2000.0,Kipawa_2000-01-01,240.0
4.62,346.16,5.846901095916629,2000.0,2000.0,Kipawa_2000-01-01,241.0
4.62,1086.53,6.9907444109121615,2000.0,2000.0,Kipawa_2000-01-01,243.0
4.62,653.2,6.48188336109631,2000.0,2000.0,Kipawa_2000-01-01,244.0
4.62,230.27,5.439252533469528,2000.0,2000.0,Kipawa_2000-01-01,249.0
4.62,1224.59,7.11036137307878,2000.0,2000.0,Kipawa_2000-01-01,250.0
4.62,1298.89,7.169265332561522,2000.0,2000.0,Kipawa_2000-01-01,255.0
4.62,1401.08,7.244998646776695,463.8,463.8,Kipawa_2000-01-01,257.0
4.62,754.41,6.625935986798732,692.4,692.4,Kipawa_2000-01-01,261.0
4.62,693.77,6.54214049347393,940.0,940.0,Kipawa_2000-01-01,262.0
4.62,1399.42,7.243813144049028,1288.6,1288.6,Kipawa_2000-01-01,263.0
4.62,1050.57,6.957088153000791,479.9,479.9,Kipawa_2000-01-01,264.0
4.62,1522.27,7.327957920848753,622.1,622.1,Kipawa_2000-01-01,265.0
4.62,1317.84,7.183749311638726,762.0,762.0,Kipawa_2000-01-01,266.0
4.62,1294.43,7.165825722797084,312.0,312.0,Kipawa_2000-01-01,267.0
4.62,1746.81,7.465546546348855,1288.0,1288.0,Kipawa_2000-01-01,268.0
4.62,565.17,6.337126570845393,684.6,684.6,Kipawa_2000-01-01,269.0
3.29,57.23,4.047078236421011,2000.0,2000.0,LaMalbaie_2000-06-15,270.0
3.29,14.43,2.6693093727857793,2000.0,2000.0,LaMalbaie_2000-06-15,273.0
3.29,24.31,3.1908877883280318,2000.0,2000.0,LaMalbaie_2000-06-15,276.0
3.29,21.5,3.068052935133617,2000.0,2000.0,LaMalbaie_2000-06-15,277.0
3.29,953.6,6.860244296311085,2000.0,2000.0,LaMalbaie_2000-06-15,286.0
3.29,642.8,6.465833633863357,2000.0,2000.0,LaMalbaie_2000-06-15,287.0
3.29,430.64,6.065272474252701,2000.0,2000.0,LaMalbaie_2000-06-15,289.0
3.29,42.99,3.76096753050819,2000.0,2000.0,LaMalbaie_2000-06-15,290.0
3.29,786.37,6.66742741958036,2000.0,2000.0,LaMalbaie_2000-06-15,295.0
3.29,821.58,6.711229315572197,2000.0,2000.0,LaMalbaie_2000-06-15,296.0
3.29,19.7,2.9806186357439426,2000.0,2000.0,LaMalbaie_2000-06-15,298.0
3.29,415.13,6.0285917241892655,1043.0,1043.0,LaMalbaie_2000-06-15,301.0
3.29,534.92,6.282117203004596,1503.0,1503.0,LaMalbaie_2000-06-15,302.0
3.65,82.62,4.414251781968618,2000.0,2000.0,Laurentide_2000-07-12,303.0
3.65,106.56,4.668708206792079,2000.0,2000.0,Laurentide_2000-07-12,304.0
3.65,53.82,3.9856451452987596,2000.0,2000.0,Laurentide_2000-07-12,305.0
3.65,77.49,4.350148895775859,2000.0,2000.0,Laurentide_2000-07-12,306.0
3.65,95.25,4.55650501400681,2000.0,2000.0,Laurentide_2000-07-12,307.0
3.65,47.83,3.8676530576922055,160.0,160.0,Laurentide_2000-07-12,308.0
3.65,866.54,6.764508270813796,2000.0,2000.0,Laurentide_2000-07-12,318.0
3.65,558.19,6.324699406215847,2000.0,2000.0,Laurentide_2000-07-12,319.0
3.65,513.71,6.2416589038985055,2000.0,2000.0,Laurentide_2000-07-12,321.0
3.65,58.89,4.07567129695648,2000.0,2000.0,Laurentide_2000-07-12,322.0
3.65,692.77,6.540698053770227,2000.0,2000.0,Laurentide_2000-07-12,327.0
3.65,861.01,6.758106118762142,2000.0,2000.0,Laurentide_2000-07-12,328.0
3.65,53.81,3.985459323501328,2000.0,2000.0,Laurentide_2000-07-12,329.0
3.11,81.87,4.405132623388357,2000.0,2000.0,Laurentide_2000-07-12A,333.0
3.11,105.53,4.658995272682999,2000.0,2000.0,Laurentide_2000-07-12A,334.0
3.11,53.24,3.974809993526911,2000.0,2000.0,Laurentide_2000-07-12A,335.0
3.11,76.4,4.335982696172475,2000.0,2000.0,Laurentide_2000-07-12A,336.0
3.11,94.03,4.543613880288985,2000.0,2000.0,Laurentide_2000-07-12A,337.0
3.11,867.31,6.7653964676596825,2000.0,2000.0,Laurentide_2000-07-12A,347.0
3.11,58.03,4.060960118202517,2000.0,2000.0,Laurentide_2000-07-12A,349.0
3.11,694.39,6.543033762320787,2000.0,2000.0,Laurentide_2000-07-12A,353.0
3.85,1028.28,6.935642782469028,2000.0,2000.0,Ashtabula_2001-01-26,358.0
3.85,1053.91,6.960262336461152,2000.0,2000.0,Ashtabula_2001-01-26,359.0
3.85,1087.83,6.991940165207585,2000.0,2000.0,Ashtabula_2001-01-26,360.0
3.85,1027.42,6.934806084458451,2000.0,2000.0,Ashtabula_2001-01-26,361.0
3.85,1062.08,6.967984528531609,2000.0,2000.0,Ashtabula_2001-01-26,362.0
3.85,1082.59,6.987111597298232,2000.0,2000.0,Ashtabula_2001-01-26,363.0
3.85,852.37,6.748020704860861,2000.0,2000.0,Ashtabula_2001-01-26,364.0
3.85,436.3,6.078330080129564,2000.0,2000.0,Ashtabula_2001-01-26,365.0
3.85,1038.4,6.945436345949825,2000.0,2000.0,Ashtabula_2001-01-26,366.0
3.85,348.39,5.853322541925776,2000.0,2000.0,Ashtabula_2001-01-26,367.0
3.85,984.96,6.892601031210459,463.8,463.8,Ashtabula_2001-01-26,368.0
3.85,279.07,5.6314626464095605,940.0,940.0,Ashtabula_2001-01-26,369.0
3.85,880.4,6.780376349652307,1288.6,1288.6,Ashtabula_2001-01-26,371.0
3.85,606.31,6.407391406426742,1250.7,1250.7,Ashtabula_2001-01-26,372.0
3.85,536.74,6.2855138059379225,511.5,511.5,Ashtabula_2001-01-26,373.0
3.85,581.77,6.366075180620248,1064.6,1064.6,Ashtabula_2001-01-26,374.0
3.85,568.97,6.343827708659039,479.9,479.9,Ashtabula_2001-01-26,375.0
3.85,854.05,6.74998974008407,762.0,762.0,Ashtabula_2001-01-26,377.0
3.85,877.05,6.7765640032897885,312.0,312.0,Ashtabula_2001-01-26,378.0
3.85,258.26,5.553966829418505,538.4,538.4,Ashtabula_2001-01-26,379.0
3.85,398.59,5.987933319656664,684.6,684.6,Ashtabula_2001-01-26,380.0
3.85,518.85,6.251614824051288,789.0,789.0,Ashtabula_2001-01-26,381.0
3.85,1636.56,7.400351756880507,533.5,533.5,Ashtabula_2001-01-26,382.0
3.85,969.01,6.876274931754956,299.0,299.0,Ashtabula_2001-01-26,383.0
3.85,553.87,6.3169300021713015,318.2,318.2,Ashtabula_2001-01-26,384.0
3.85,627.73,6.442110137713353,704.8,704.8,Ashtabula_2001-01-26,386.0
3.85,258.58,5.555205123826407,1290.4,1290.4,Ashtabula_2001-01-26,387.0
3.85,583.18,6.368495886553599,1503.0,1503.0,Ashtabula_2001-01-26,388.0
3.85,1110.12,7.012223396571227,464.8,464.8,Ashtabula_2001-01-26,389.0
4.37,2261.65,7.72384991437695,2000.0,2000.0,Enola_2001-05-04,390.0
4.37,1827.03,7.510446976604442,2000.0,2000.0,Enola_2001-05-04,391.0
4.37,1769.12,7.478237526794091,2000.0,2000.0,Enola_2001-05-04,392.0
4.37,1671.16,7.421273275058832,2000.0,2000.0,Enola_2001-05-04,393.0
4.37,1534.75,7.336122780307606,2000.0,2000.0,Enola_2001-05-04,394.0
4.37,1698.88,7.437724489395307,2000.0,2000.0,Enola_2001-05-04,395.0
4.37,2297.5,7.739576854229842,350.4,350.4,Enola_2001-05-04,396.0
4.37,1296.96,7.167778343439943,1084.7,1084.7,Enola_2001-05-04,397.0
4.37,1296.96,7.167778343439943,1084.7,1084.7,Enola_2001-05-04,398.0
