i,r2,mse,mae
0,0.6562468033182018,7.829943529474086,1.8940292091017314
1,0.652129192301776,8.063167245879029,1.9343623043954594
2,0.6909493262738529,6.61623985259414,1.8330973607480399
3,0.7286900315619199,5.853672846991455,1.7496691946505398
4,0.6847960412822521,6.931137914058481,1.8859891037893468
5,0.7029697433545268,6.837727525970988,1.852267708899381
6,0.6873553652258878,7.033731389498435,1.8542528241380691
7,0.716715909126607,5.787659753692664,1.675795761445427
8,0.6968764741328559,6.7810718843867495,1.8026002906661545
9,0.6641823310272543,7.433360599430838,1.9404004413340634
10,0.6668885706438921,6.492051924779062,1.8036448331319352
11,0.7042599315740071,6.7813115205848895,1.8417059932846913
12,0.7240167440242034,6.756049669202683,1.7825661242876663
13,0.7025494405887623,6.360375839155333,1.7513076773115313
14,0.7353547380695755,6.0471236039307215,1.7476010613067914
15,0.683434910977933,6.68506332269528,1.8355008657137224
16,0.7009791717997308,6.111300755818501,1.7899482772720512
17,0.7439801593002134,5.612194534681427,1.7347694360309456
18,0.7197117931955865,6.489936065873567,1.81057591382257
19,0.7212932336647546,6.060316666535977,1.7510427121671408
20,0.6399602926182127,7.0016804211191275,1.8664560612193382
21,0.6398739061074533,8.016114423522108,1.9609924366793337
22,0.7299722013366401,6.065000687401142,1.7435650039217725
23,0.7270149802345569,6.27676518276248,1.7960402193645386
24,0.6808613022807648,6.827737988157752,1.8489233010213049
25,0.7348759629739292,6.496174841806104,1.8122020267728927
26,0.6966507368944785,6.3221982816743765,1.8235476343771595
27,0.7081126935457912,6.665337369244541,1.8461650188718395
28,0.7263912631566046,5.52925666094434,1.7061293691934198
29,0.7261662354277962,6.2900797694338895,1.7635333573941494
30,0.6908263029324082,6.867461408521018,1.8157010292291886
31,0.659989305286952,7.256703695805943,1.8571272819086937
32,0.7164407756208102,6.078552727864699,1.735922784647436
33,0.7272045170416388,5.903862821495598,1.7179171622002964
34,0.7086218164829294,5.979103921198533,1.7346071849064106
35,0.6546292197903396,7.410143750640903,1.885638968890129
36,0.7466467106003134,5.986572158977183,1.7772538980911745
37,0.6485982006986437,7.718380235154497,1.9021470749597604
38,0.6732456352428637,6.836359411942518,1.8278016415396254
39,0.7066606192108594,7.381758634040228,1.8965620179234812
40,0.6942455494558791,6.5295789243360005,1.815985603279602
41,0.6529952600034891,7.101282356240766,1.8793786816288935
42,0.6753392437078324,7.829163845879409,1.9137510335715415
43,0.7298467789830035,5.960529824491871,1.7255832062463428
44,0.6707777741284303,7.160751841136841,1.8961236593471018
45,0.696635172407248,6.583109057308078,1.8033581592222836
46,0.6476983276126722,6.996203035947278,1.8592569615188017
47,0.6923444230520258,6.222301503858317,1.7682324228851143
48,0.7023547844485666,6.219865479926267,1.790278005251979
49,0.706508279968745,6.665007208210621,1.8512897924190723
50,0.7133537722807851,5.907529205162351,1.759975701608783
51,0.6616627375064849,7.195263326971194,1.842772155304486
52,0.718202543851108,6.426748964429759,1.8155990521035
53,0.6816584667993038,6.864894684900329,1.8075964089957377
54,0.6643182307409241,7.303340776409029,1.9182707712846212
55,0.6970365746229965,6.049691483072051,1.7288932821901806
56,0.6859783819814159,7.4089976848946995,1.8662025595389098
57,0.7305677071895268,6.293169956327503,1.7763225943728491
58,0.6667034404957881,7.9802810932989106,1.9579610838050654
59,0.6419551935677119,7.150273176741333,1.8804062488114486
60,0.6756301422360917,6.396944125686762,1.760037118940398
61,0.7233614198635898,5.539963388443889,1.7184335267870614
62,0.6645717685654187,7.986612056546885,1.9758435372887027
63,0.6692808089784468,7.588050552934743,1.920287913444246
64,0.672338469048439,6.171063484590133,1.8138370542093059
65,0.7016606526922003,6.630054934278869,1.838973027285172
66,0.6742551149707814,6.111479413343815,1.8049988138954196
67,0.699470000394751,6.678211014016822,1.8040386124014736
68,0.6672740340646397,7.39332172985431,1.8635351452300262
69,0.689665748155891,6.797854128178243,1.8709711867229972
70,0.6996258487209008,6.054245259099807,1.78237204442141
71,0.6639891613651568,7.497368979284433,1.902229976410336
72,0.7177245660832222,6.008787616415206,1.711534339528296
73,0.6604741386264118,7.536524817609813,1.9395525593065785
74,0.7008853190813162,7.0574894019661185,1.8571722094151772
75,0.7150580662372714,6.100486810234439,1.7468515681717016
76,0.6718182325685819,7.514406693731676,1.8978400463008251
77,0.6920153568432433,6.587094780962721,1.8441926253565581
78,0.665984720853336,7.387438683872762,1.8803022499137232
79,0.6470732585258764,7.466080810926724,1.900995803587558
80,0.7159385059889619,6.594739617749686,1.8279906650548954
81,0.6879045233483688,7.440220764564037,1.918694690178734
82,0.7515866972437889,5.276293828357038,1.667746554541813
83,0.706239307088586,6.935029316172658,1.8615547338778213
84,0.7156644816932878,6.212486524513581,1.7895700809538613
85,0.7030371635494296,6.487349105810762,1.8127432312488072
86,0.6764187087382825,7.516308676539029,1.880933228818931
87,0.6480346438904426,7.3909139423832215,1.8563978634160603
88,0.6785144011879065,6.899623277696319,1.8828351588006147
89,0.6634048022208789,7.3468847149219565,1.9303348278443522
90,0.7095267809149639,6.149055828765587,1.782483101610343
91,0.6718603548381405,7.122141725650106,1.8668900465976157
92,0.680191529824217,7.457921215852128,1.9038168451187114
93,0.7171968810278094,6.573657699884298,1.8180873027928843
94,0.7270074372369429,5.922746682249683,1.753005855206592
95,0.7097104794848601,6.978572689417935,1.8675345114380526
96,0.6934032507283641,7.343086334278064,1.879453952402507
97,0.7189326184171559,5.985899041564538,1.7499912566018831
98,0.7025050033173206,6.734769348204632,1.8249627736538068
99,0.6893023067218285,6.467938243128399,1.7962032768511227
